数据集,规范字段名,来源系统,来源接口,来源字段名,来源数据类型,来源单位,转换系数,来源字段说明,备注
kline_daily,amount,tushare_daily,,amount,float,千元,0.1,,原始为千元
kline_daily,change,tushare_daily,,change,float,元,1,,原始为元
kline_daily,close,tushare_daily,,close,float,元,1,,原始为元
kline_daily,high,tushare_daily,,high,float,元,1,,原始为元
kline_daily,low,tushare_daily,,low,float,元,1,,原始为元
kline_daily,open,tushare_daily,,open,float,元,1,,原始为元
kline_daily,pct_chg,tushare_daily,,pct_chg,float,百分比,1,,原始为百分比
kline_daily,pre_close,tushare_daily,,pre_close,float,元,1,,原始为元
kline_daily,trade_date,tushare_daily,,trade_date,str,无,1,,日期字符串
kline_daily,ts_code,tushare_daily,,ts_code,str,无,1,,TS代码
kline_daily,vol,tushare_daily,,vol,float,手,1,,原始为手
kline_m1,amount_m,tushare_stk_mins,stk_mins,amount,float,元,1,成交金额,
kline_m1,close,tushare_stk_mins,stk_mins,close,float,元,1,收盘价,
kline_m1,high,tushare_stk_mins,stk_mins,high,float,元,1,最高价,
kline_m1,low,tushare_stk_mins,stk_mins,low,float,元,1,最低价,
kline_m1,open,tushare_stk_mins,stk_mins,open,float,元,1,开盘价,
kline_m1,trade_time,tushare_stk_mins,stk_mins,trade_time,str,无,1,交易时间,
kline_m1,ts_code,tushare_stk_mins,stk_mins,ts_code,str,无,1,股票代码,
kline_m1,vol,tushare_stk_mins,stk_mins,vol,int,手,1,成交量,
trade_calendar,exchange,tushare_trade_cal,trade_cal,exchange,str,无,1,交易所 SSE上交所 SZSE深交所,交易日历
trade_calendar,cal_date,tushare_trade_cal,trade_cal,cal_date,str,无,1,日历日期,交易日历
trade_calendar,is_open,tushare_trade_cal,trade_cal,is_open,str,无,1,是否交易 0休市 1交易,交易日历
trade_calendar,pretrade_date,tushare_trade_cal,trade_cal,pretrade_date,str,无,1,上一个交易日,交易日历
stock_basic,ts_code,tushare_stock_basic,stock_basic,ts_code,str,无,1,TS代码,股票基础信息
stock_basic,symbol,tushare_stock_basic,stock_basic,symbol,str,无,1,股票代码,股票基础信息
stock_basic,name,tushare_stock_basic,stock_basic,name,str,无,1,股票名称,股票基础信息
stock_basic,area,tushare_stock_basic,stock_basic,area,str,无,1,地域,股票基础信息
stock_basic,industry,tushare_stock_basic,stock_basic,industry,str,无,1,所属行业,股票基础信息
stock_basic,fullname,tushare_stock_basic,stock_basic,fullname,str,无,1,股票全称,股票基础信息
stock_basic,enname,tushare_stock_basic,stock_basic,enname,str,无,1,英文全称,股票基础信息
stock_basic,cnspell,tushare_stock_basic,stock_basic,cnspell,str,无,1,拼音缩写,股票基础信息
stock_basic,market,tushare_stock_basic,stock_basic,market,str,无,1,市场类型（主板/创业板/科创板/CDR）,股票基础信息
stock_basic,exchange,tushare_stock_basic,stock_basic,exchange,str,无,1,交易所代码,股票基础信息
stock_basic,curr_type,tushare_stock_basic,stock_basic,curr_type,str,无,1,交易货币,股票基础信息
stock_basic,list_status,tushare_stock_basic,stock_basic,list_status,str,无,1,上市状态 L上市 D退市 P暂停上市,股票基础信息
stock_basic,list_date,tushare_stock_basic,stock_basic,list_date,str,无,1,上市日期,股票基础信息
stock_basic,delist_date,tushare_stock_basic,stock_basic,delist_date,str,无,1,退市日期,股票基础信息
